audio_id,sentence
Voice8,त्यसै गरी विश्वको कुनाकुनामा शान्तिको संदेश छरी अमर बन्न पुगेका शान्तिका अग्रदुत गौतम बुद्ध पनि मेरै देशका बासिन्दा हुन्।
Voice9,श्वेतभैरबी केवल बुट्टाका अस्पष्ट रेखाहरू मोटो खाँडीमा बाकी बचेका थिए तर त्यसमा कति आफ्नोपना ।
Voice10,हाम्रो देश स्वर्ग झैँ सुन्दर र चद्रमा झैँ चम्किलो छ।
Voice11,"ढोकाको डन्डीको छाया एउटा भुइँमा सोझो, अर्को भित्तामा च्याप्टो र बाङ्गिएको परिरहेको थियो ।"
Voice12,घरघरमा बत्ती निभेका छन्‌ ।
Voice13,यो सारा नेपालीहरूले आफ्ना मनमा लागेका कुराहरू अरूलाई बताउने माध्यम भाषाका रूपमा पनि रहेको छ।
Voice14,प्रारम्भमा ग्रामीण जीवनको बाटोमा तै-तै गरेर पाइलो चाल्ने प्रयत्न गर्दा सान्नानीको सहारा नभई हुँदैनथ्यो।
Voice15,"लागि सञ्चारका माध्यमले अहम् भूमिका खेलेको छ, पत्रपत्रिकाको अभावमा व्यक्ति तथा राष्ट्रले राजनीति, खेलकुद, कृषि र अन्य कुराहरू थाहा पाउन सक्दैन ।"
Voice16,जस्तै –हाम्रो सहर हेटौँडा ।
Voice17,"पहिले जो आमाजस्ती भएर मेरो औंलालाई सहारा दिँदै गाउँका आवश्यक वस्तुहरूलाई चिह्नाउँदै हिंड्थी, त्यो पछि-पछि सहचरी भएर गई ।"
Voice18,किशोरले कोठामा एकचोटि दृष्टिपात गर्‍यो ।
Voice19,यस प्रविधिको युगमा पुस्तकालय विद्या प्राप्त गर्नकालागि एक सजिलो मार्फत हो।
Voice20,"हामी रिस,राग,कपट र छल कहिले गर्दैनौ।"
Voice21,आगामी दिनमा बलिस्टिक क्षेप्यास्त्रसहित थप अस्त्रहरू प्राप्त गर्नका लागि प्रयास गरिरहेको छौँ ।
Voice22,निष्पट्ट शान्ति छ शहरमा; झन्‌ जाडोले शान्तिलाई जम्मोठजस्तो डल्लो पारेर अडाइदिएको छ ।
Voice23,पुस्तकालय आज सबै मानिसले पढ्ने गर्छन।
Voice24,यो हाम्रो स्वास्थकोलागि एकदमै खतरनाक बस्तु हो।
Voice25,दूध खान मन लाग्दा म आमासँग माग्थे तर छोएर खन्नथे।
Voice26,"बनारसमा म जन्मेँ, त्यहीं हुर्के ।"
Voice27,यस दिन गाई र धनको पूजा गर्ने गरिन्छ।
Voice28,त्यो दिन उहाँ दिशाको आविष्कार गरे र त्यसैले हामीले आज दिशा हेर्न सफल भएका छौ।
Voice29,उक्त महत्त्वलाई बुझ्दा बुझ्दै पनि बढ्दो जनसंख्याको कारणले दिन प्रतिदिन जंगलको विनाश भइरहेको पाइन्छ।
Voice30,"मन्त्रीहरू र अरू ठूला-ठूला कर्मचारीहरू सरकारी आवासस्थानहरूमा; पसले, जागीरिया, कृषक, गरीब, मध्यवित्तीय तथा धनी व्यक्तिहरू छन् ।"
Voice31,हामीले यसमा रहेको अर्थपूर्ण ज्ञानलाई मनले धारण गर्न सक्यो भने लक्ष्य र आकाङ्क्षा प्राप्त गर्न सक्छौ।
Voice32,तिहार हाम्रा चाडहरू मध्येको एक महत्त्वपूर्ण चाड हो।
Voice33,"दूबो पनि छ, तर खोइ, त्यो कम्पनीको बगैंचाको संयम यिनीहरूमा ? खोइ, त्यो सुसंस्कृत, सुव्यवस्थित रचना यिनीहरूको ?"
Voice34,हामी त्यहाँ गयौं ।
Voice35,हामी वृक्ष वनस्पतिलाई पनि उनीहरूको उपकार सम्झी श्रद्धा गर्छौं।
Voice36,"देशको भौतिक अवस्थालाई विपन्नताबाट सम्पन्नतातर्फ, नराम्रो अवस्थाबाट राम्रो अवस्थातर्फ, यथास्थितिबाट उन्नतितर्फ लैजानुलाई देश विकास भनिन्छ।"
Voice37,फर्जी बिल बनाएर समेत इन्धनमा आर्थिक अनियमितता हुने गरेको ती कर्मचारीले बताए ।
